Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Latitude,Longitude
90001,58738.0,28.7,35660.0,11882.0,18654.0,31.757976097245393,33.9731,-118.2479
90002,52856.0,27.7,34000.0,11807.0,17795.0,33.666944150143784,33.9497,-118.2462
90005,39562.0,35.4,32461.0,21566.0,11300.0,28.562762246600272,34.0585,-118.3012
90006,62329.0,33.2,33790.0,15314.0,17720.0,28.429783888719538,34.0493,-118.2917
90003,70490.0,28.2,34397.0,11305.0,23212.0,32.92949354518371,33.9653,-118.2727
90004,62733.0,35.1,46581.0,30590.0,11985.0,19.10477738989049,34.0762,-118.3029
90007,41221.0,24.6,23070.0,13013.0,16513.0,40.059678319303266,34.0294,-118.2871
90008,32359.0,43.0,36641.0,28926.0,7207.0,22.272010877962853,34.0116,-118.3411
90010,3759.0,38.8,47115.0,36598.0,535.0,14.232508645916468,34.0606,-118.3027
90013,11957.0,43.4,22808.0,37228.0,5318.0,44.476039140252574,34.0448,-118.2434
90014,7408.0,40.5,37619.0,46026.0,2560.0,34.557235421166304,34.0443,-118.2509
90017,26390.0,30.8,28638.0,21874.0,11123.0,42.148541114058354,34.0559,-118.2666
90021,3158.0,42.9,12864.0,30598.0,1530.0,48.44838505383154,34.0333,-118.2447
90011,108051.0,28.0,33824.0,10887.0,38839.0,35.94506297951893,34.0079,-118.2582
90012,33783.0,35.5,38786.0,24502.0,7531.0,22.292277180830595,34.0614,-118.2385
90015,20187.0,32.4,32979.0,31423.0,7413.0,36.72165254866994,34.0434,-118.2716
90016,46303.0,37.1,43443.0,23410.0,10235.0,22.104399282983824,34.0298,-118.3528
90018,52287.0,34.9,37341.0,18577.0,12899.0,24.669611949432937,34.029,-118.3152
90019,67415.0,37.8,50671.0,30842.0,12434.0,18.443966476303494,34.0482,-118.3343
90020,39191.0,34.5,42407.0,28351.0,7123.0,18.17509121992294,34.0665,-118.3022
90022,67446.0,32.1,41276.0,14895.0,15366.0,22.782670580909173,34.0245,-118.1561
90025,47453.0,34.1,78713.0,50487.0,5798.0,12.218405580258361,34.0447,-118.4487
90027,45616.0,38.0,58344.0,46196.0,6880.0,15.082427218519818,34.104,-118.2925
90031,39103.0,35.6,41126.0,18906.0,9621.0,24.604250313275195,34.0783,-118.2113
90032,47766.0,33.6,47370.0,19476.0,10031.0,21.000293095507264,34.0818,-118.1753
90023,47229.0,31.3,40225.0,13689.0,12316.0,26.07719833153359,34.0245,-118.1975
90024,49718.0,22.7,59418.0,42697.0,12715.0,25.574238706303554,34.0637,-118.4408
90026,68609.0,34.6,54342.0,32107.0,14591.0,21.2668891836348,34.0766,-118.2646
90028,31054.0,34.4,40068.0,32587.0,7448.0,23.984027822502735,34.1005,-118.3254
90029,38843.0,35.9,37379.0,22103.0,9359.0,24.09443142908632,34.09,-118.2944
90033,48841.0,30.0,31683.0,13332.0,16777.0,34.350238529104644,34.0487,-118.2084
90034,56070.0,33.6,65572.0,42477.0,7379.0,13.160335295166757,34.029,-118.4005
90037,63238.0,30.1,31045.0,12433.0,23361.0,36.941395996078306,34.003,-118.2863
90039,29092.0,38.5,81394.0,45616.0,2941.0,10.109308400934966,34.1121,-118.2594
90042,63788.0,35.0,55596.0,25401.0,12358.0,19.37354988399072,34.1145,-118.1929
90043,44571.0,39.4,41812.0,27437.0,9400.0,21.08994637768953,33.9871,-118.3321
90045,41420.0,35.0,90399.0,48661.0,3938.0,9.50748430709802,33.9631,-118.3941
90035,29920.0,36.1,76677.0,51296.0,3383.0,11.306818181818182,34.0531,-118.3806
90036,38116.0,34.4,74279.0,53842.0,4485.0,11.766712141882675,34.0699,-118.3492
90038,27957.0,33.4,36996.0,24758.0,7956.0,28.457989054619595,34.0898,-118.3215
90040,12925.0,34.6,43585.0,16510.0,2088.0,16.154738878143135,33.9909,-118.1532
90041,28651.0,39.3,73250.0,35817.0,2902.0,10.128791316184426,34.1339,-118.2082
90044,94680.0,30.8,32278.0,14430.0,32596.0,34.42754541613857,33.9551,-118.2901
90046,51615.0,38.8,65990.0,63973.0,6847.0,13.265523588104234,34.1074,-118.3652
90048,22860.0,36.7,85396.0,70123.0,1942.0,8.495188101487313,34.0737,-118.372
90057,49389.0,34.1,31337.0,15492.0,16961.0,34.34165502439814,34.0622,-118.2763
90058,3189.0,23.5,16425.0,9429.0,1774.0,55.62872373784886,33.9994,-118.2133
90047,48491.0,39.6,42551.0,21712.0,9660.0,19.92122249489596,33.9569,-118.3073
90049,36362.0,40.6,121671.0,99599.0,2659.0,7.312579066057973,34.066,-118.474
90056,8014.0,50.3,84438.0,54647.0,558.0,6.962815073621163,33.9853,-118.3707
90059,47351.0,26.3,37653.0,12208.0,16204.0,34.2210301788769,33.9293,-118.2463
90062,33627.0,34.6,40018.0,17269.0,7776.0,23.124275136051388,34.0032,-118.3073
90063,53556.0,31.8,44121.0,16107.0,11991.0,22.389648218686983,34.0451,-118.1859
90064,26007.0,38.5,92194.0,61983.0,2354.0,9.05140923597493,34.0353,-118.4259
90065,48420.0,36.5,58405.0,28540.0,8524.0,17.604295745559686,34.1073,-118.2266
90066,59747.0,37.1,75209.0,45168.0,6335.0,10.603042830602373,34.003,-118.4298
90061,28003.0,29.9,37126.0,14215.0,8634.0,30.832410813127165,33.9245,-118.2716
90067,2235.0,65.4,123889.0,148638.0,108.0,4.832214765100671,34.0551,-118.4095
90068,21726.0,40.5,82718.0,81674.0,2238.0,10.301021817177576,34.1156,-118.3305
90073,944.0,55.9,-666666666.0,11695.0,461.0,48.83474576271186,33.7866,-118.2987
90077,8936.0,49.2,184722.0,110727.0,372.0,4.162936436884512,34.1112,-118.4502
90089,3846.0,19.1,-666666666.0,6764.0,15.0,0.39001560062402496,33.7866,-118.2987
