Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Latitude,Longitude
90001,58975.0,29.1,38521.0,12835.0,16911.0,28.67486222975837,33.9731,-118.2479
90002,53111.0,27.7,35410.0,12372.0,17365.0,32.69567509555459,33.9497,-118.2462
90005,39479.0,35.8,35149.0,22694.0,11036.0,27.954102180906304,34.0585,-118.3012
90006,61698.0,33.2,35411.0,16383.0,17326.0,28.0819475509741,34.0493,-118.2917
90003,72741.0,28.6,37226.0,12316.0,22186.0,30.49999312629741,33.9653,-118.2727
90004,61586.0,35.0,48754.0,31139.0,11092.0,18.010586821680253,34.0762,-118.3029
90007,41716.0,24.7,25226.0,16212.0,15815.0,37.91111324192156,34.0294,-118.2871
90008,31739.0,42.9,39907.0,31172.0,6926.0,21.821733513973346,34.0116,-118.3411
90010,3702.0,38.4,61849.0,42734.0,457.0,12.344678552133981,34.0606,-118.3027
90013,11937.0,44.1,21676.0,39316.0,5347.0,44.79349920415515,34.0448,-118.2434
90014,8335.0,42.3,35857.0,47740.0,3030.0,36.35272945410918,34.0443,-118.2509
90017,26728.0,31.0,31423.0,24409.0,10922.0,40.86351391798863,34.0559,-118.2666
90021,2922.0,40.3,15149.0,30468.0,1269.0,43.42915811088296,34.0333,-118.2447
90011,109414.0,28.4,36954.0,11985.0,35874.0,32.787394666130474,34.0079,-118.2582
90012,35913.0,35.2,42275.0,27356.0,7832.0,21.808258847771,34.0614,-118.2385
90015,21801.0,31.8,39016.0,32600.0,7182.0,32.943442961332046,34.0434,-118.2716
90016,46581.0,36.4,46680.0,24790.0,9659.0,20.735922371782486,34.0298,-118.3528
90018,53256.0,34.4,41768.0,20658.0,12091.0,22.70354514045366,34.029,-118.3152
90019,66245.0,38.0,52625.0,31994.0,11450.0,17.284323345158125,34.0482,-118.3343
90020,39102.0,34.7,46504.0,29899.0,6420.0,16.418597514193646,34.0665,-118.3022
90022,65890.0,32.3,43366.0,16180.0,13970.0,21.202003338898162,34.0245,-118.1561
90025,47967.0,33.6,83655.0,53136.0,5491.0,11.447453457585423,34.0447,-118.4487
90027,44686.0,38.2,64091.0,50282.0,6196.0,13.865640245266974,34.104,-118.2925
90031,38535.0,35.7,44343.0,20318.0,8330.0,21.61671207992734,34.0783,-118.2113
90032,47627.0,33.9,50989.0,20814.0,9378.0,19.69051168454868,34.0818,-118.1753
90023,46780.0,32.0,41308.0,14157.0,11808.0,25.241556220607098,34.0245,-118.1975
90024,50288.0,22.5,63306.0,43406.0,12151.0,24.16282214444798,34.0637,-118.4408
90026,69589.0,34.7,60820.0,34316.0,13614.0,19.563436750061072,34.0766,-118.2646
90028,30734.0,35.7,43998.0,36703.0,6894.0,22.43118370534262,34.1005,-118.3254
90029,37898.0,35.7,39562.0,22947.0,9246.0,24.39706580822207,34.09,-118.2944
90033,47583.0,31.1,35548.0,14851.0,14854.0,31.217031292688564,34.0487,-118.2084
90034,55652.0,33.7,71295.0,45844.0,6200.0,11.140659814561921,34.029,-118.4005
90037,65016.0,30.0,33856.0,13283.0,22210.0,34.16082195151962,34.003,-118.2863
90039,29589.0,38.1,86031.0,48035.0,2893.0,9.777282098076988,34.1121,-118.2594
90042,63911.0,35.1,59746.0,27780.0,10546.0,16.501071802976014,34.1145,-118.1929
90043,44627.0,40.6,47500.0,29541.0,8961.0,20.079772335133438,33.9871,-118.3321
90045,41149.0,35.1,96812.0,52519.0,3475.0,8.444919682130793,33.9631,-118.3941
90035,28085.0,36.8,79534.0,55360.0,3351.0,11.931636104682214,34.0531,-118.3806
90036,37988.0,34.7,80998.0,58567.0,3961.0,10.426976940086343,34.0699,-118.3492
90038,27660.0,33.8,39984.0,26001.0,7315.0,26.446131597975416,34.0898,-118.3215
90040,12645.0,34.7,46532.0,17821.0,2065.0,16.330565440885724,33.9909,-118.1532
90041,29516.0,39.7,80547.0,38137.0,2949.0,9.991191218322266,34.1339,-118.2082
90044,96436.0,30.8,34311.0,15416.0,30703.0,31.837695466423327,33.9551,-118.2901
90046,50587.0,38.9,67667.0,65751.0,6557.0,12.961828137663826,34.1074,-118.3652
90048,22892.0,37.3,95197.0,76790.0,1823.0,7.963480691944784,34.0737,-118.372
90057,49492.0,33.7,33861.0,16600.0,15667.0,31.655621110482503,34.0622,-118.2763
90058,2758.0,25.8,20982.0,10862.0,1420.0,51.48658448150834,33.9994,-118.2133
90047,48883.0,40.0,47477.0,24189.0,8990.0,18.390851625309413,33.9569,-118.3073
90049,36964.0,40.7,127658.0,101869.0,2581.0,6.982469429715398,34.066,-118.474
90056,7795.0,49.5,86100.0,56024.0,573.0,7.350865939704939,33.9853,-118.3707
90059,45952.0,26.9,41995.0,13197.0,13897.0,30.24242688022284,33.9293,-118.2463
90062,34422.0,34.6,44835.0,19099.0,7716.0,22.415896810179536,34.0032,-118.3073
90063,52951.0,32.5,46613.0,17166.0,10910.0,20.60395459953542,34.0451,-118.1859
90064,25429.0,39.7,95865.0,66508.0,2362.0,9.288607495379292,34.0353,-118.4259
